task,model,rparentheses_colon,period_asterisk,op_semicolon,snake_case-screaming_snake_case,camel_case-pascal_case,rparentheses_period,snake_case-camel_case,op_lsquarebracket,double_plus_rparentheses,period_name,camel_case-snake_case,lparentheses_name,rsquarebracket_rparentheses,lparentheses_rparentheses,snake_case-pascal_case,op_rsquarebracket,rparentheses_semicolon,op_lparentheses,lsquarebracket_name,op_dash,op_all,camel_case-screaming_snake_case,rparentheses_rparentheses,op_name
humanevalexplaindescribe-python,Llama-3.1-8B-Instruct,1.7552447552447552,,,2.351145038167939,,,-0.35877862595419846,1.2580645161290323,,1.9545454545454546,,3.25,1.28,1.92,-0.09923664122137404,1.26,,,1.3846153846153846,1.5909090909090908,9.231707317073171,,1.490566037735849,5.024390243902439
humanevalexplaindescribe-python,Llama-3.2-3B-Instruct,1.7552447552447552,,,2.351145038167939,,,-0.35877862595419846,1.2580645161290323,,1.9545454545454546,,3.25,1.28,1.92,-0.09923664122137404,1.26,,,1.3846153846153846,1.5909090909090908,9.231707317073171,,1.490566037735849,5.024390243902439
humanevalexplaindescribe-python,Llama-3.3-70B-Instruct,1.7552447552447552,,,2.351145038167939,,,-0.35877862595419846,1.2580645161290323,,1.9545454545454546,,3.25,1.28,1.92,-0.09923664122137404,1.26,,,1.3846153846153846,1.5909090909090908,9.231707317073171,,1.490566037735849,5.024390243902439
humanevalexplaindescribe-python,Qwen2.5-Coder-7B-Instruct,1.7552447552447552,,,2.351145038167939,,,-0.35877862595419846,1.2580645161290323,,1.9545454545454546,,3.25,1.28,1.92,-0.09923664122137404,1.26,,,1.3846153846153846,1.5909090909090908,9.231707317073171,,1.490566037735849,5.024390243902439
humanevalexplaindescribe-python,Qwen2.5-Coder-1.5B-Instruct,1.7552447552447552,,,2.351145038167939,,,-0.35877862595419846,1.2580645161290323,,1.9545454545454546,,3.25,1.28,1.92,-0.09923664122137404,1.26,,,1.3846153846153846,1.5909090909090908,9.231707317073171,,1.490566037735849,5.024390243902439
humanevalexplaindescribe-python,Qwen2.5-Coder-32B-Instruct,1.7552447552447552,,,2.351145038167939,,,-0.35877862595419846,1.2580645161290323,,1.9545454545454546,,3.25,1.28,1.92,-0.09923664122137404,1.26,,,1.3846153846153846,1.5909090909090908,9.231707317073171,,1.490566037735849,5.024390243902439
humanevalexplaindescribe-python,deepseek-coder-1.3b-instruct,1.6153846153846154,,,5.206106870229007,,,-2.8244274809160306,1.1935483870967742,,0.06060606060606061,,-0.16463414634146342,1.4,2.24,-2.0229007633587788,1.3,,,-0.05128205128205128,1.0909090909090908,3.5304878048780486,,1.4528301886792452,-0.17682926829268292
humanevalexplaindescribe-python,deepseek-coder-6.7b-instruct,1.6153846153846154,,,5.206106870229007,,,-2.8244274809160306,1.1935483870967742,,0.06060606060606061,,-0.16463414634146342,1.4,2.24,-2.0229007633587788,1.3,,,-0.05128205128205128,1.0909090909090908,3.5304878048780486,,1.4528301886792452,-0.17682926829268292
humanevalexplaindescribe-python,deepseek-coder-33b-instruct,1.6153846153846154,,,5.206106870229007,,,-2.8244274809160306,1.1935483870967742,,0.06060606060606061,,-0.16463414634146342,1.4,2.24,-2.0229007633587788,1.3,,,-0.05128205128205128,1.0909090909090908,3.5304878048780486,,1.4528301886792452,-0.17682926829268292
humanevalexplaindescribe-python,CodeQwen1.5-7B-Chat,1.6223776223776223,,,5.778625954198473,,,-2.5877862595419847,1.096774193548387,,0.0,,0.024390243902439025,1.46,2.24,-1.9236641221374047,1.14,,,-0.0641025641025641,1.1363636363636365,3.7439024390243905,,1.4528301886792452,-0.024390243902439025
